sym,t,dirn,rv,vratio,ats,pierce,tier,m1,m2,m4,m8,m16,m32,day
RUNE,1786233600000,-1,0.0018783414843451382,22.813377299673856,2.444141786686769,0.007223372440763691,MID,4.234775676678751,19.9930255839822,20.919981460883385,-32.6117204301074,-22.878683722653943,-6.888694846125198,08-09
TAO,1786235400000,1,0.0032167145426434366,11.325244115462096,1.3205750243834002,0.008774467264487619,HIGH,-115.16324094427948,-164.86218006307865,-187.32227754945916,-159.12768708783236,-151.0038220395676,-128.0658501385837,08-09
MELANIA,1786236300000,-1,0.0017149858708652669,9.889089583927497,3.559775950032362,0.0006626905235256245,HIGH,-36.2501698513811,-65.44337579617914,-77.38605095541386,-48.19284501061583,-99.94443736730392,-56.15462845010687,08-09
ZEN,1786237200000,1,0.0020967831728648544,6.900388212458091,7.573440826333224,7.202535292427471e-05,MID,-100.55655143440025,-32.13739407033999,38.44236826311521,-31.657259632696434,-55.66398151482292,226.89513503781217,08-09
WLD,1786238100000,-1,0.0022797194707672567,7.167893596110603,1.8659403137801982,0.0032210353327856577,HIGH,-17.275058714870596,-53.559528961604656,-30.79927035229049,-22.882658662093302,-96.11131679641181,-203.31543343448988,08-09
CHIP,1786238100000,-1,0.0022329683913305744,6.134238990471285,2.4868974182748866,0.0037264537264537594,MID,487.4735645353376,507.18528068662476,533.8782296414943,552.3579635333261,501.8466908956514,548.6620167549589,08-09
ONDO,1786239000000,-1,0.0022945838700165794,5.576472006994483,3.0763728687022778,0.0018419916534752453,HIGH,-42.92615928029795,-61.38006776044483,-45.521240160318115,-68.5886257605033,-19.282089040107564,-54.459852080388956,08-09
CHIP,1786239000000,-1,0.006373951971983878,103.53347926860675,5.923305875224323,0.05628239940755374,MID,-102.31668764477186,-142.0876766749704,-97.50920545430789,-52.05664656265108,-111.93165202569826,-46.37507670119436,08-09
ZEC,1786239900000,1,0.002272759786485554,6.11682914882523,1.8559924204310632,0.0023046874999999023,HIGH,3.4276875864627403,-33.59275159285324,-48.985460514779476,-33.00821834265406,-83.27807785982928,248.15227500340924,08-09
WLFI,1786239900000,-1,0.0015868957233132368,48.84451646507321,6.165814426809884,0.004173769913585422,HIGH,-89.6014758229648,-102.00500393762863,-93.73598519451942,-90.38900141754605,-177.60746101748418,-201.23322885493795,08-09
RENDER,1786241700000,1,0.001467091511041728,5.091382552924724,2.958843782528625,0.0028532812734643363,MID,-47.68699408106728,-73.91011538173454,-34.20081741215274,7.75617666891454,-53.680850378361896,-73.91011538173454,08-09
UNI,1786244400000,-1,0.0019594817760107725,7.432427405187559,2.0709408211740397,0.0018713331984624906,HIGH,-42.70044896305417,-35.86344812742093,-70.55489681193144,-44.4730047352558,-53.84222810260597,-63.97111822947035,08-09
BCH,1786244400000,-1,0.0012438874892625538,11.987570746864943,5.2843934199676,0.003296499210697409,HIGH,-25.764477938778683,-19.241624656385035,-36.48059404556663,-11.321017099194176,-17.843870381586495,-90.52709267110812,08-09
APT,1786245300000,1,0.002746267496577236,5.160229796713282,1.1481720774195343,0.002125224783390498,HIGH,-185.1460822051869,-172.09763986299114,-160.6802528135696,-260.17462567280944,-221.02929864622394,-263.43673625835794,08-09
kLUNC,1786248000000,1,0.001621592867735503,15.963371895843538,3.8775344466986206,0.004418886198547155,MID,46.45159193995029,21.564986553204598,-46.87317826034676,30.596415927427568,95.42200899128918,91.60873881106235,08-09
ALGO,1786248000000,-1,0.00153482404592427,12.627227890712664,4.175252226166126,0.0012916320693791053,MID,-25.936452208853268,-39.099512504907,0.38966838325260245,-16.93014779576471,-21.548765443502553,45.30572500750502,08-09
APE,1786248900000,1,0.0018428591772109036,9.640855714451808,5.249605733782255,0.00261291526689055,MID,-39.2171260604261,-48.89118470010398,-68.23930197946177,-46.65870962940876,-112.14464503646278,-150.0967212382793,08-09
RENDER,1786248900000,1,0.0017807964140726593,28.592222222222222,5.208628063427917,0.0035166479610923506,MID,-51.95725917089162,-98.18451834178325,-169.01660900685974,-101.91252311362894,-159.3237966000593,-152.61338801073703,08-09
kLUNC,1786248900000,1,0.0019033910853106534,5.2210121716848175,1.8836412821632418,0.009818685621348178,MID,-84.56397208046258,-116.93157270795648,-189.01402073115037,87.40131714291331,-71.06092396592524,10.155938958278904,08-09
XLM,1786253400000,-1,0.0012954868041108862,23.25671857853324,4.992651243207687,0.00043061023622056156,HIGH,-26.035193206989725,-41.41791533349725,-76.49052178193529,-50.03223972434152,-20.497413241446605,-28.49642874723168,08-09
ARB,1786253400000,-1,0.0017099824448811379,10.276246587233029,3.7737762212715826,0.003980482794042176,HIGH,-18.61825879623521,-44.394776388709204,-59.86068694419252,-22.484736435106488,20.04651759247399,-13.462955277740768,08-09
POL,1786254300000,1,0.001272587755730352,11.128384387862742,3.6637464297819453,0.007909000886016527,MID,75.53300014211393,40.52143728279229,21.65911928478274,8.093753601281085,50.2109841995792,-14.515189204552616,08-09
MEGA,1786254300000,1,0.002953856735047621,8.098102518807298,2.9185999616580167,0.0009608785175017244,MID,-3.2630299873904773,12.361113425798099,-56.43993914807238,55.67014253604572,-138.67227290170476,29.081687955704762,08-09
PEOPLE,1786255200000,1,0.004831615856201242,12.991570106379685,2.780843176535739,0.01279069767441862,MID,33.89674165920974,-78.59207337338587,-74.75722740636614,42.84471558225724,178.34260641697563,402.041954493161,08-09
POL,1786255200000,1,0.0014872662127741274,7.856864417103179,1.9060011605790002,0.007924503910542337,MID,-30.616152267333685,-58.19616637803769,-41.648157911615996,-36.132155089474836,-58.452724648835186,-102.45246809056388,08-09
PEOPLE,1786256100000,1,0.004805808244272554,9.029843107068444,2.5131415074388563,0.0015294417537598595,MID,-124.06566611528099,-126.61051915001859,-33.72338338210899,68.07073800738104,208.0376549179282,435.80200152691197,08-09
TRB,1786257000000,1,0.0015859304591096075,12.471329552614995,6.197066403333412,0.003172085646312357,MID,-33.83405707285543,-37.43714131296424,-43.20207609714015,-113.82252720328627,-105.89574187504586,-10.053701088131604,08-09
