dt,symbol,brk,rv24,fund8,fade,cum
2026-02-03 18:00:00,ARB,-1,0.01133579065207071,-1.7151587500000003e-05,0.07701462596091864,1.8365103289304778
2026-02-03 18:00:00,S,-1,0.012237936220638419,-3.390125000000001e-06,0.0772679818055225,1.9126783107360004
2026-02-03 18:00:00,AVAX,-1,0.010785524759774859,-2.22387375e-05,0.06519095756614329,1.9767692683021436
2026-02-03 18:00:00,XRP,-1,0.010381282961896597,-1.7384874999999995e-05,0.05633056315435248,2.031999831456496
2026-02-03 18:00:00,SOL,-1,0.01128085812370141,-2.8270962500000005e-05,0.043179449149384666,2.0740792806058805
2026-02-03 18:00:00,MNT,-1,0.010833682207123121,-2.5944425e-05,0.06555862216378197,2.1385379027696625
2026-02-03 18:00:00,ETH,-1,0.01409663613865318,-1.0426025000000002e-05,0.0813957774070664,2.2188336801767288
2026-02-03 18:00:00,IO,-1,0.014168116643140003,-6.459307500000001e-05,0.07108232627625867,2.288816006452987
2026-02-03 18:00:00,KAITO,-1,0.013507055648376481,-4.3830874999999725e-06,0.11051490636420506,2.3982309128171924
2026-02-03 18:00:00,DOGE,-1,0.014450889508348334,-1.6172425e-05,0.0642821906896035,2.461413103506796
2026-02-03 18:00:00,DOT,-1,0.010795262319395434,-1.0009300000000004e-05,0.07753949677903046,2.5378526002858264
2026-02-03 18:00:00,ADA,-1,0.013354144830702241,-6.2938375e-06,0.062344491513673855,2.5990970917995004
2026-02-03 18:00:00,TAO,-1,0.012861777987729717,-7.504800000000005e-06,0.08422973402775276,2.6822268258272532
2026-02-03 19:00:00,ETHFI,1,0.01704920743017411,9.033875e-06,-0.01866972436549981,2.6624571014617535
2026-02-03 20:00:00,PENDLE,1,0.020936470488862147,7.7258375e-06,0.049342234212133254,2.710699335673887
2026-02-03 20:00:00,FARTCOIN,1,0.023050132959671735,1.25e-05,0.04657382859348029,2.7561731642673672
2026-02-03 20:00:00,ETHFI,1,0.018666383290148292,9.6492125e-06,0.03268988065568403,2.7877630449230515
2026-02-03 20:00:00,SUSHI,1,0.016930531949699967,4.8943750000000034e-06,0.031218021967710185,2.8178810668907617
2026-02-03 20:00:00,UNI,1,0.015810916226356858,1.19723625e-05,0.027981509110463224,2.8447625760012247
2026-02-03 20:00:00,LDO,1,0.01789797833996489,1.0985262500000002e-05,0.0313530792776391,2.875015655278864
