horizon,feature,tier,ic,t_clustered,t_nw,n_timestamps,eff_n,day_consistency,r2_pct
5,eff_sz,MID,-0.04116932230791853,-1.161754220671758,-1.1258768184077625,131,26.2,0.6842105263157895,0.16949130992932784
5,herf,ALL,-0.0030246244981653836,-1.392215039526876,-1.0961741082219978,28278,5655.6,0.45454545454545453,0.0009148353354902199
5,herf,HIGH,-0.0038905144756245383,-1.7255031937418899,-1.3492823083840961,27974,5594.8,0.6363636363636364,0.0015136102885044077
5,herf,MID,-0.055776481498588805,-1.4337998859308128,-1.6553971754061005,131,26.2,0.47368421052631576,0.3111015888362419
5,ret1,ALL,0.010518556642495796,4.438377494592661,4.327807373956722,28278,5655.6,0.7727272727272727,0.011064003384139244
5,ret1,HIGH,0.006289201710362257,2.559224669931139,2.5102798871266208,27974,5594.8,0.6818181818181818,0.003955405815362354
5,ret1,MID,0.0033823063627100997,0.08163659922008974,0.08018355653140802,130,26.0,0.42105263157894735,0.0011439996331229225
5,clv,ALL,0.01600990832849725,7.193380716617387,7.008732435818696,27962,5592.4,0.8636363636363636,0.02563171646868856
5,clv,HIGH,0.014734635946388349,6.394953888186123,6.264046562223003,27624,5524.8,0.8636363636363636,0.021710949647259968
5,clv,MID,0.05978486556551282,1.1266992745095554,0.8573889622788757,53,10.6,0.7333333333333333,0.35742301506864405
5,intensity,ALL,-0.002000548096680853,-0.9150037321007657,-0.7975539665727791,28259,5651.8,0.5,0.00040021926871333836
5,intensity,HIGH,-0.0037521147409066784,-1.6462456378375758,-1.432772646821854,27955,5591.0,0.7272727272727273,0.0014078365028929191
5,intensity,MID,0.009436803844559374,0.2603050635747035,0.31155770915731246,131,26.2,0.42105263157894735,0.00890532668006906
5,rv60,ALL,-0.00474546358365221,-1.9423979740970176,-1.3076318247706198,28259,5651.8,0.5909090909090909,0.0022519424623769274
5,rv60,HIGH,-0.0038834824263442327,-1.526012365374347,-1.010320641608837,27955,5591.0,0.5454545454545454,0.0015081435755724488
5,rv60,MID,0.009219111139566197,0.2205066738373449,0.19608697183040258,131,26.2,0.47368421052631576,0.008499201020367355
15,ofi,ALL,0.015124969116223526,7.191462922626553,5.821789788881114,28268,1884.5333333333333,0.8571428571428571,0.022876469076671544
15,ofi,HIGH,0.01266723172496166,5.785235925763507,4.607725013779754,27964,1864.2666666666667,0.8095238095238095,0.016045875957387514
