sym,t,dirn,day
LTC,1785056400000,1,07-26
ENA,1785059100000,-1,07-26
AAVE,1785060000000,1,07-26
IMX,1785060000000,1,07-26
PAXG,1785060000000,1,07-26
AAVE,1785060900000,1,07-26
KAITO,1785060900000,1,07-26
OP,1785061800000,1,07-26
PAXG,1785061800000,1,07-26
UNI,1785061800000,1,07-26
RENDER,1785061800000,1,07-26
OP,1785062700000,1,07-26
UNI,1785063600000,1,07-26
APT,1785063600000,1,07-26
KAITO,1785063600000,1,07-26
ETHFI,1785064500000,1,07-26
KAITO,1785064500000,1,07-26
ETHFI,1785065400000,1,07-26
UNI,1785066300000,1,07-26
CC,1785066300000,1,07-26
MINA,1785066300000,1,07-26
KAITO,1785067200000,1,07-26
ETH,1785067200000,1,07-26
BTC,1785067200000,1,07-26
NIL,1785067200000,1,07-26
UNI,1785067200000,1,07-26
UNI,1785068100000,1,07-26
LINK,1785068100000,1,07-26
APT,1785068100000,1,07-26
KAITO,1785070800000,1,07-26
PENDLE,1785071700000,1,07-26
AAVE,1785072600000,1,07-26
APE,1785073500000,-1,07-26
BTC,1785074400000,1,07-26
ETH,1785074400000,1,07-26
MINA,1785075300000,1,07-26
AAVE,1785076200000,1,07-26
ETH,1785077100000,1,07-26
BNB,1785077100000,1,07-26
LDO,1785077100000,1,07-26
PURR,1785078000000,1,07-26
ETH,1785078900000,1,07-26
AAVE,1785078900000,1,07-26
PURR,1785078900000,1,07-26
LINK,1785078900000,1,07-26
ETH,1785079800000,1,07-26
LTC,1785079800000,1,07-26
LINK,1785079800000,1,07-26
UNI,1785079800000,1,07-26
SOL,1785079800000,1,07-26
PAXG,1785079800000,1,07-26
LINK,1785080700000,1,07-26
SOL,1785080700000,1,07-26
UNI,1785080700000,1,07-26
LTC,1785080700000,1,07-26
XLM,1785080700000,1,07-26
ONDO,1785080700000,1,07-26
PENDLE,1785081600000,1,07-26
ONDO,1785081600000,1,07-26
PAXG,1785081600000,1,07-26
PURR,1785082500000,1,07-26
ONDO,1785082500000,1,07-26
JUP,1785082500000,1,07-26
LINK,1785082500000,1,07-26
ETH,1785082500000,1,07-26
SUSHI,1785082500000,1,07-26
HYPE,1785082500000,1,07-26
LTC,1785083400000,1,07-26
PAXG,1785083400000,1,07-26
PUMP,1785083400000,1,07-26
BTC,1785083400000,1,07-26
PURR,1785083400000,1,07-26
ENS,1785083400000,1,07-26
HEMI,1785084300000,-1,07-26
ETC,1785084300000,1,07-26
ENS,1785085200000,1,07-26
NIL,1785085200000,1,07-26
XMR,1785086100000,-1,07-26
